full-supervised.py --data squirrel --layer 2 --weight_decay 1e-3 --model GCNII --hidden 16 --dropout 0.6
Epoch:0001 train loss:1.620 acc:20.07 | val loss:1.617 acc:19.41
Epoch:0356 train loss:1.411 acc:37.98 | val loss:1.458 acc:33.89
Epoch:0357 train loss:1.422 acc:34.54 | val loss:1.460 acc:36.54
Epoch:0358 train loss:1.419 acc:38.46 | val loss:1.466 acc:37.26
Epoch:0359 train loss:1.422 acc:37.22 | val loss:1.465 acc:36.96
Epoch:0360 train loss:1.424 acc:36.70 | val loss:1.458 acc:35.76
Epoch:0361 train loss:1.420 acc:35.86 | val loss:1.457 acc:33.77
Epoch:0362 train loss:1.434 acc:36.46 | val loss:1.457 acc:34.62
Epoch:0363 train loss:1.436 acc:35.10 | val loss:1.464 acc:36.36
Epoch:0364 train loss:1.425 acc:36.26 | val loss:1.475 acc:35.52
Epoch:0365 train loss:1.445 acc:34.78 | val loss:1.465 acc:35.64
Epoch:0366 train loss:1.441 acc:35.22 | val loss:1.457 acc:33.95
Epoch:0367 train loss:1.433 acc:34.78 | val loss:1.459 acc:33.89
Epoch:0368 train loss:1.437 acc:35.38 | val loss:1.458 acc:34.25
Epoch:0369 train loss:1.438 acc:34.98 | val loss:1.462 acc:35.04
Epoch:0370 train loss:1.421 acc:37.46 | val loss:1.462 acc:34.62
Epoch:0371 train loss:1.415 acc:35.86 | val loss:1.458 acc:34.44
Epoch:0372 train loss:1.418 acc:36.78 | val loss:1.458 acc:34.13
Epoch:0373 train loss:1.420 acc:37.90 | val loss:1.458 acc:33.95
Epoch:0374 train loss:1.421 acc:37.34 | val loss:1.461 acc:34.56
Epoch:0375 train loss:1.407 acc:36.38 | val loss:1.467 acc:35.94
Epoch:0376 train loss:1.426 acc:35.30 | val loss:1.466 acc:36.06
Epoch:0377 train loss:1.425 acc:36.90 | val loss:1.460 acc:34.56
Epoch:0378 train loss:1.419 acc:35.98 | val loss:1.461 acc:34.31
Epoch:0379 train loss:1.424 acc:36.62 | val loss:1.460 acc:34.07
Epoch:0380 train loss:1.429 acc:35.30 | val loss:1.466 acc:36.66
Epoch:0381 train loss:1.422 acc:35.78 | val loss:1.478 acc:35.76
Epoch:0382 train loss:1.418 acc:36.30 | val loss:1.469 acc:36.18
Epoch:0383 train loss:1.433 acc:35.22 | val loss:1.459 acc:34.92
Epoch:0384 train loss:1.427 acc:34.94 | val loss:1.459 acc:33.59
Epoch:0385 train loss:1.417 acc:35.58 | val loss:1.460 acc:35.04
Epoch:0386 train loss:1.421 acc:36.30 | val loss:1.463 acc:35.58
Epoch:0387 train loss:1.414 acc:37.86 | val loss:1.463 acc:36.36
Epoch:0388 train loss:1.415 acc:37.14 | val loss:1.461 acc:35.82
Epoch:0389 train loss:1.415 acc:35.46 | val loss:1.460 acc:35.22
Epoch:0390 train loss:1.422 acc:36.18 | val loss:1.460 acc:35.46
Epoch:0391 train loss:1.418 acc:35.70 | val loss:1.460 acc:35.58
Epoch:0392 train loss:1.418 acc:37.38 | val loss:1.462 acc:35.82
Epoch:0393 train loss:1.431 acc:34.21 | val loss:1.461 acc:35.64
Epoch:0394 train loss:1.416 acc:36.30 | val loss:1.461 acc:35.22
Epoch:0395 train loss:1.416 acc:35.86 | val loss:1.460 acc:34.44
Epoch:0396 train loss:1.417 acc:36.30 | val loss:1.460 acc:34.62
Epoch:0397 train loss:1.412 acc:37.90 | val loss:1.460 acc:34.92
Epoch:0398 train loss:1.417 acc:36.30 | val loss:1.463 acc:36.06
Epoch:0399 train loss:1.411 acc:37.06 | val loss:1.466 acc:35.94
Epoch:0400 train loss:1.417 acc:36.54 | val loss:1.462 acc:35.22
Epoch:0401 train loss:1.420 acc:36.02 | val loss:1.460 acc:34.50
Epoch:0402 train loss:1.424 acc:36.10 | val loss:1.459 acc:34.68
Epoch:0403 train loss:1.417 acc:36.70 | val loss:1.461 acc:34.74
Epoch:0404 train loss:1.415 acc:36.54 | val loss:1.462 acc:35.70
Epoch:0405 train loss:1.414 acc:37.18 | val loss:1.461 acc:35.22
Epoch:0406 train loss:1.415 acc:36.30 | val loss:1.459 acc:35.22
Epoch:0407 train loss:1.418 acc:36.74 | val loss:1.459 acc:34.92
Epoch:0408 train loss:1.425 acc:36.94 | val loss:1.460 acc:35.82
Epoch:0409 train loss:1.413 acc:37.10 | val loss:1.465 acc:36.12
Epoch:0410 train loss:1.416 acc:35.90 | val loss:1.466 acc:36.48
Epoch:0411 train loss:1.419 acc:34.46 | val loss:1.462 acc:35.64
Epoch:0412 train loss:1.410 acc:36.54 | val loss:1.460 acc:35.16
Epoch:0413 train loss:1.419 acc:36.10 | val loss:1.462 acc:35.76
Epoch:0414 train loss:1.428 acc:36.34 | val loss:1.467 acc:37.08
Epoch:0415 train loss:1.427 acc:36.94 | val loss:1.463 acc:36.06
Epoch:0416 train loss:1.413 acc:37.46 | val loss:1.462 acc:34.25
Epoch:0417 train loss:1.432 acc:35.50 | val loss:1.462 acc:35.40
Epoch:0418 train loss:1.429 acc:35.66 | val loss:1.464 acc:35.52
Epoch:0419 train loss:1.409 acc:36.54 | val loss:1.466 acc:36.42
Epoch:0420 train loss:1.438 acc:36.74 | val loss:1.468 acc:36.00
Epoch:0421 train loss:1.424 acc:36.34 | val loss:1.465 acc:35.88
Epoch:0422 train loss:1.417 acc:36.98 | val loss:1.463 acc:35.46
Epoch:0423 train loss:1.412 acc:34.94 | val loss:1.463 acc:35.16
Epoch:0424 train loss:1.412 acc:38.22 | val loss:1.464 acc:35.10
Epoch:0425 train loss:1.426 acc:36.74 | val loss:1.463 acc:34.74
Epoch:0426 train loss:1.404 acc:38.38 | val loss:1.463 acc:35.16
Epoch:0427 train loss:1.410 acc:36.62 | val loss:1.461 acc:34.13
Epoch:0428 train loss:1.420 acc:36.54 | val loss:1.460 acc:33.71
Epoch:0429 train loss:1.426 acc:35.58 | val loss:1.460 acc:33.77
Epoch:0430 train loss:1.410 acc:37.94 | val loss:1.459 acc:34.07
Epoch:0431 train loss:1.407 acc:36.98 | val loss:1.460 acc:34.31
Epoch:0432 train loss:1.410 acc:37.26 | val loss:1.462 acc:34.31
Epoch:0433 train loss:1.417 acc:36.02 | val loss:1.463 acc:34.86
Epoch:0434 train loss:1.419 acc:36.10 | val loss:1.461 acc:34.98
Epoch:0435 train loss:1.419 acc:35.94 | val loss:1.460 acc:35.16
Epoch:0436 train loss:1.417 acc:36.38 | val loss:1.460 acc:35.22
Epoch:0437 train loss:1.423 acc:34.98 | val loss:1.461 acc:35.22
Epoch:0438 train loss:1.414 acc:38.02 | val loss:1.465 acc:35.58
Epoch:0439 train loss:1.430 acc:37.30 | val loss:1.460 acc:35.52
Epoch:0440 train loss:1.434 acc:36.18 | val loss:1.457 acc:34.31
0 : 36.02
Train cost: 28.0986s
Test acc.:36.02
Test std.:0.00
